District,Date,Daily Rainfall (m.m),Actual Progressive Rainfall (m.m),Baseline RF Prediction (m.m),AIS RF Prediction (m.m),ANN Prediction (m.m),Best Model Prediction (m.m),AIS Absolute Error (m.m),Best Model Absolute Error (m.m),Data Type
Nandurbar,01-09-2025,1.7,460.1,467.6483,472.6936,469.5282,469.5282,12.5936,9.4282,Training
Nandurbar,02-09-2025,4.3,461.8,463.4823,464.4677,469.6274,469.6274,2.6677,7.8274,Training
Nandurbar,03-09-2025,0.0,466.1,465.943,466.8404,473.1053,473.1053,0.7404,7.0053,Training
Nandurbar,04-09-2025,10.5,466.1,468.2037,467.9821,473.984,473.984,1.8821,7.8841,Training
Nandurbar,05-09-2025,49.1,476.6,482.2247,479.5256,483.4324,483.4324,2.9256,6.8324,Training
Nandurbar,06-09-2025,15.8,525.7,525.0883,524.767,527.0938,527.0938,0.933,1.3937,Training
Nandurbar,07-09-2025,21.8,541.5,541.9463,543.1143,538.906,538.906,1.6143,2.5939,Training
Nandurbar,08-09-2025,4.5,563.3,561.6537,561.1689,559.7522,559.7522,2.1311,3.5479,Training
Nandurbar,09-09-2025,0.1,567.8,566.3303,565.4972,571.36,571.36,2.3028,3.56,Training
Nandurbar,10-09-2025,0.0,567.9,564.9687,563.103,568.3494,568.3494,4.797,0.4494,Training
Nandurbar,11-09-2025,0.0,567.9,561.8733,559.7349,546.7537,546.7537,8.1651,21.1463,Training
Nandurbar,12-09-2025,0.0,567.9,559.1003,557.1086,532.6708,532.6708,10.7914,35.2292,Training
Nandurbar,13-09-2025,0.2,567.9,535.8803,532.0149,539.3664,539.3664,35.8851,28.5337,Testing
Nandurbar,14-09-2025,0.7,568.1,534.2243,530.5125,537.3385,537.3385,37.5875,30.7615,Testing
Nandurbar,15-09-2025,8.1,568.8,536.5637,531.2606,540.9236,540.9236,37.5394,27.8764,Testing
Nandurbar,16-09-2025,0.1,576.9,537.5553,532.6461,552.165,552.165,44.2539,24.735,Testing
