District,Date,Daily Rainfall (m.m),Progressive (m.m)
Nandurbar,01-09-2025,1.7,460.1
Nandurbar,02-09-2025,4.3,461.8
Nandurbar,03-09-2025,0,466.1
Nandurbar,04-09-2025,10.5,466.1
Nandurbar,05-09-2025,49.1,476.6
Nandurbar,06-09-2025,15.8,525.7
Nandurbar,07-09-2025,21.8,541.5
Nandurbar,08-09-2025,4.5,563.3
Nandurbar,09-09-2025,0.1,567.8
Nandurbar,10-09-2025,0,567.9
Nandurbar,11-09-2025,0,567.9
Nandurbar,12-09-2025,0,567.9
Nandurbar,13-09-2025,0.2,567.9
Nandurbar,14-09-2025,0.7,568.1
Nandurbar,15-09-2025,8.1,568.8
Nandurbar,16-09-2025,0.1,576.9
