Iteration,Best RMSE,Current Swarm Best RMSE,Mean Swarm RMSE,Inertia Weight,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
1,48.30261509035307,48.30261509035307,56.84350362301584,0.6799999999999999,683,4,3,1,log2
2,48.30261509035307,48.81786447008895,55.07413452765027,0.6599999999999999,683,4,3,1,log2
3,47.45681137407601,47.45681137407601,51.015852912723766,0.64,570,4,2,1,log2
4,47.45681137407601,47.46234167026781,49.403209852994884,0.62,570,4,2,1,log2
5,47.29568409234761,47.29568409234761,47.73299607240234,0.6,560,3,2,1,log2
6,47.29568409234761,47.42617020940901,47.68060804803938,0.58,560,3,2,1,log2
7,47.26566730564635,47.26566730564635,47.70402525793478,0.5599999999999999,556,3,2,1,log2
8,47.26566730564635,47.27661436577143,47.55685016990978,0.5399999999999999,556,3,2,1,log2
9,47.257835522290975,47.257835522290975,47.39652083753608,0.52,554,3,2,1,log2
10,47.257835522290975,47.26566730564633,47.916012776310254,0.49999999999999994,554,3,2,1,log2
11,47.257835522290975,47.261028857474834,47.34764009812377,0.48,554,3,2,1,log2
12,47.232944740103626,47.232944740103626,47.2968844116453,0.45999999999999996,564,3,2,1,log2
13,47.21572456336176,47.21572456336176,47.27756112673212,0.43999999999999995,555,3,2,1,log2
14,47.21572456336175,47.21572456336175,47.280894264525564,0.41999999999999993,555,3,2,1,log2
15,47.21572456336174,47.21572456336174,47.27241506892796,0.39999999999999997,555,3,2,1,log2
