District,Date,Daily Rainfall (m.m),Actual Progressive Rainfall (m.m),Random Forest Prediction (m.m),ANN Prediction (m.m),Best Model Prediction (m.m),Absolute Error (m.m),Data Type
Nandurbar,01-09-2025,1.7,460.1,469.6638,462.6814,462.6814,2.5815,Training
Nandurbar,02-09-2025,4.3,461.8,463.3534,461.4552,461.4552,0.3448,Training
Nandurbar,03-09-2025,0.0,466.1,466.029,466.5673,466.5673,0.4673,Training
Nandurbar,04-09-2025,10.5,466.1,468.4474,468.6927,468.6927,2.5927,Training
Nandurbar,05-09-2025,49.1,476.6,482.1598,476.1018,476.1018,0.4983,Training
Nandurbar,06-09-2025,15.8,525.7,524.9104,524.1314,524.1314,1.5685,Training
Nandurbar,07-09-2025,21.8,541.5,541.5644,541.9684,541.9684,0.4684,Training
Nandurbar,08-09-2025,4.5,563.3,561.131,562.1344,562.1344,1.1656,Training
Nandurbar,09-09-2025,0.1,567.8,566.2654,565.2143,565.2143,2.5857,Training
Nandurbar,10-09-2025,0.0,567.9,565.445,567.7222,567.7222,0.1778,Training
Nandurbar,11-09-2025,0.0,567.9,561.8828,567.7258,567.7258,0.1742,Training
Nandurbar,12-09-2025,0.0,567.9,559.458,568.3802,568.3802,0.4802,Training
Nandurbar,13-09-2025,0.2,567.9,536.7952,556.4453,556.4453,11.4547,Testing
Nandurbar,14-09-2025,0.7,568.1,534.9696,559.6743,559.6743,8.4257,Testing
Nandurbar,15-09-2025,8.1,568.8,537.8212,557.1393,557.1393,11.6607,Testing
Nandurbar,16-09-2025,0.1,576.9,538.4784,564.5727,564.5727,12.3273,Testing
